uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
5207698	|	5246625	|	uncultured archaeon Arc.212	|	species	|	silva:AF005767,ncbi:62254	|		|		|	
5205908	|	5246625	|	uncultured marine crenarchaeote E48-1C	|	species	|	silva:HQ214612,ncbi:907718	|		|		|	
5208426	|	5246625	|	uncultured archaeon 19a-29	|	species	|	silva:AJ294882,ncbi:138491	|		|		|	
5208806	|	5246625	|	uncultured archaeon 19b-39	|	species	|	silva:AJ294869,ncbi:138478	|		|		|	
5205385	|	5246625	|	uncultured crenarchaeote MCG	|	species	|	silva:EU559699,ncbi:529375	|		|		|	
5205314	|	5246625	|	uncultured crenarchaeote pBRKC88	|	species	|	silva:AF118662,ncbi:91317	|		|		|	
5207905	|	5246625	|	uncultured archaeon Arc.119	|	species	|	silva:AF005762,ncbi:62240	|		|		|	
5208057	|	5246625	|	archaeon enrichment culture clone C4-6C-A	|	species	|	silva:GU196155,ncbi:698585	|		|		|	
5207787	|	5246625	|	uncultured thermal soil archaeon	|	species	|	silva:AF391992,ncbi:166500	|		|		|	
5878054	|	5246625	|	hot springs metagenome	|	species	|	silva:ADKI01000120,ncbi:433727	|		|		|	
5207788	|	5246625	|	archaeon enrichment culture clone C4-32C-A	|	species	|	silva:GU196176,ncbi:698565	|		|		|	
5207804	|	5246625	|	archaeon enrichment culture clone C3-1C-A	|	species	|	silva:GQ470597,ncbi:670835	|		|		|	
5246630	|	102415	|	Terrestrial Hot Spring Gp(THSCG)	|	no rank	|	silva:U63341/#3	|		|		|	
5205086	|	5246630	|	Candidatus Caldiarchaeum subterraneum	|	species	|	silva:JN881568,ncbi:311458	|		|		|	
5208097	|	5246630	|	uncultured archaeon 20c-54	|	species	|	silva:AJ299202,ncbi:138407	|		|		|	
5274699	|	5246630	|	Order Incertae Sedis	|	no rank - terminal	|	silva:AB566230/#4	|	Order Incertae Sedis (in Terrestrial Hot Spring Gp(THSCG))	|	was_container	|	
5207913	|	5246630	|	uncultured archaeon 20a-28	|	species	|	silva:AJ299159,ncbi:138364	|		|		|	
5207909	|	5246630	|	uncultured archaeon 20a-12	|	species	|	silva:AJ299155,ncbi:138360	|		|		|	
5208622	|	5246630	|	uncultured archaeon 20a-6	|	species	|	silva:AJ299151,ncbi:138356	|		|		|	
5208623	|	5246630	|	uncultured archaeon 20a-7	|	species	|	silva:AJ299152,ncbi:138357	|		|		|	
5207910	|	5246630	|	uncultured archaeon 20b-7	|	species	|	silva:AJ299162,ncbi:138367	|		|		|	
5208598	|	5246630	|	uncultured archaeon 20b-27	|	species	|	silva:AJ299172,ncbi:138377	|		|		|	
4917978	|	5246630	|	uncultured marine microorganism HF4000_APKG10H11	|	species	|	silva:EU016667,ncbi:455559	|		|		|	
5574954	|	5246630	|	Family Incertae Sedis	|	no rank - terminal	|	silva:AB566230/#5	|	Family Incertae Sedis (in Terrestrial Hot Spring Gp(THSCG))	|	incertae_sedis,was_container	|	
4795961	|	5246630	|	Candidatus Caldiarchaeum	|	genus	|	silva:AB566230/#6,ncbi:1048752	|		|	incertae_sedis,barren	|	
5246646	|	102415	|	Sc-EA05	|	no rank - terminal	|	silva:JQ684417/#3	|		|		|	
5246627	|	102415	|	Soil Crenarchaeotic Group(SCG)	|	no rank	|	silva:U68604/#3	|		|		|	
5205313	|	5246627	|	Crenarchaeote enrichment culture clone OREC-R1073	|	species	|	silva:JF799649,ncbi:1050482	|		|		|	
5205368	|	5246627	|	unidentified archaeon SCA1150	|	species	|	silva:U62812,ncbi:50850	|		|		|	
5205475	|	5246627	|	unidentified archaeon SCA1158	|	species	|	silva:U62815,ncbi:50853	|		|		|	
5205395	|	5246627	|	Crenarchaeote enrichment culture clone OREC-R104	|	species	|	silva:JF799591,ncbi:1050424	|		|		|	
5205480	|	5246627	|	unidentified archaeon SCA1170	|	species	|	silva:U62817,ncbi:50855	|		|		|	
5205295	|	5246627	|	uncultured crenarchaeote TRC132-9	|	species	|	silva:AF227639,ncbi:115024	|		|		|	
5205481	|	5246627	|	unidentified archaeon SCA1166	|	species	|	silva:U62816,ncbi:50854	|		|		|	
5205477	|	5246627	|	unidentified archaeon SCA1151	|	species	|	silva:U62813,ncbi:50851	|		|		|	
5205566	|	5246627	|	Crenarchaeote enrichment culture clone OREC-B1081	|	species	|	silva:JF799656,ncbi:1050489	|		|		|	
5274698	|	5246627	|	Order Incertae Sedis	|	no rank - terminal	|	silva:U62820/#4	|	Order Incertae Sedis (in Soil Crenarchaeotic Group(SCG))	|	was_container	|	
5205695	|	5246627	|	Crenarchaeote enrichment culture clone OREC-R1342	|	species	|	silva:JF799622,ncbi:1050455	|		|		|	
5208322	|	5246627	|	uncultured ammonia-oxidizing archaeon	|	species	|	silva:JQ668662,ncbi:418404	|		|		|	
5205297	|	5246627	|	uncultured crenarchaeote TREC89-44	|	species	|	silva:AY487101,ncbi:258871	|		|		|	
5205479	|	5246627	|	unidentified archaeon SCA1173	|	species	|	silva:U62818,ncbi:50856	|		|		|	
5205593	|	5246627	|	uncultured crenarchaeote TREC89-34	|	species	|	silva:AY487103,ncbi:258873	|		|		|	
5205286	|	5246627	|	Crenarchaeote enrichment culture clone OREC-B1021	|	species	|	silva:JF799608,ncbi:1050441	|		|		|	
5247440	|	5246627	|	cluster CQ786497	|	no rank - terminal	|	silva:CQ786497	|		|		|	
5205476	|	5246627	|	unidentified archaeon SCA1154	|	species	|	silva:U62814,ncbi:50852	|		|		|	
5208787	|	5246627	|	uncultured soil archaeon	|	species	|	silva:JQ668088,ncbi:164850	|		|		|	
5574957	|	5246627	|	Family Incertae Sedis	|	no rank - terminal	|	silva:U62820/#5	|	Family Incertae Sedis (in Soil Crenarchaeotic Group(SCG))	|	incertae_sedis,was_container	|	
378065	|	5246627	|	Candidatus Nitrososphaera	|	genus	|	silva:U62820/#6,ncbi:497726	|		|	incertae_sedis	|	
378062	|	378065	|	Candidatus Nitrososphaera gargensis	|	species	|	silva:EU281334,ncbi:497727	|		|	incertae_sedis_inherited	|	
5205408	|	378065	|	Crenarchaeote enrichment culture clone OREC-B1045	|	species	|	silva:JF799625,ncbi:1050458	|		|	incertae_sedis_inherited	|	
5205562	|	378065	|	Crenarchaeote enrichment culture clone OREC-R1390	|	species	|	silva:JF799664,ncbi:1050497	|		|	incertae_sedis_inherited	|	
5208591	|	378065	|	uncultured archaeon SAGMA-2	|	species	|	silva:AB050233,ncbi:140273	|		|	incertae_sedis_inherited	|	
811534	|	378065	|	Candidatus Nitrososphaera gargensis Ga9.2	|	no rank - terminal	|	silva:CP002408,ncbi:1237085	|		|	incertae_sedis_inherited	|	
5207940	|	378065	|	uncultured archaeon SAGMA-W	|	species	|	silva:AB050228,ncbi:140268	|		|	incertae_sedis_inherited	|	
5205257	|	378065	|	uncultured Nitrososphaera sp.	|	species	|	silva:JX047156,ncbi:759874	|		|	incertae_sedis_inherited	|	
5205644	|	378065	|	Crenarchaeote enrichment culture clone OREC-R1050	|	species	|	silva:JF799630,ncbi:1050463	|		|	incertae_sedis_inherited	|	
5208592	|	378065	|	uncultured archaeon SAGMA-Y	|	species	|	silva:AB050230,ncbi:140270	|		|	incertae_sedis_inherited	|	
5205474	|	378065	|	unidentified archaeon SCA11	|	species	|	silva:U62820,ncbi:50858	|		|	incertae_sedis_inherited	|	
5205256	|	378065	|	Nitrososphaera environmental samples	|	no rank - terminal	|	ncbi:759873	|		|	incertae_sedis_inherited,was_container	|	
5580300	|	378065	|	Candidatus Nitrososphaera sp. N89-12	|	species	|	ncbi:1622297	|		|	incertae_sedis_inherited	|	
118845	|	378065	|	Nitrososphaera sp. JG1	|	species	|	ncbi:1110358	|		|	incertae_sedis_inherited	|	
5878060	|	378065	|	Candidatus Nitrososphaera sp. 13_1_40CM_48_12	|	species	|	ncbi:1805054	|		|	incertae_sedis_inherited	|	
400100	|	378065	|	Nitrososphaera viennensis	|	species	|	ncbi:1034015	|		|	incertae_sedis_inherited	|	
750289	|	400100	|	Nitrososphaera viennensis EN76	|	no rank - terminal	|	silva:FR773157,ncbi:926571	|		|	incertae_sedis_inherited,infraspecific	|	
5580302	|	378065	|	Candidatus Nitrososphaera evergladensis	|	species	|	ncbi:1459637	|		|	incertae_sedis_inherited	|	
5585661	|	5580302	|	Candidatus Nitrososphaera evergladensis SR1	|	no rank - terminal	|	ncbi:1459636	|		|	incertae_sedis_inherited,infraspecific	|	
5878061	|	378065	|	Nitrososphaera sp. 13_1_20CM_3_36_3	|	species	|	ncbi:1805257	|		|	incertae_sedis_inherited	|	
5580301	|	378065	|	Candidatus Nitrososphaera sp. THUAOA	|	species	|	ncbi:1526932	|		|	incertae_sedis_inherited	|	
5580303	|	378065	|	Nitrososphaera sp. enrichment culture	|	species	|	ncbi:1616795	|		|	incertae_sedis_inherited,environmental	|	
5246647	|	102415	|	pSL12	|	no rank	|	silva:U63343/#3	|		|		|	
5205023	|	5246647	|	uncultured marine crenarchaeote AD1000-23-H12	|	species	|	silva:EU686635,ncbi:526638	|		|		|	
5246652	|	102415	|	HDBA-SITS389	|	no rank - terminal	|	silva:HM187516/#3	|		|		|	
5246644	|	102415	|	FS243A-60	|	no rank - terminal	|	silva:AB302012/#3	|		|		|	
5246632	|	102415	|	AK31	|	no rank - terminal	|	silva:DQ190090/#3	|		|		|	
5246640	|	102415	|	F9P122000-Arc-2-E02	|	no rank - terminal	|	silva:JQ221038/#3	|		|		|	
5246639	|	102415	|	D-F10	|	no rank	|	silva:AB293212/#3	|		|		|	
5205892	|	5246639	|	uncultured Candidatus Nitrosocaldus sp.	|	species	|	silva:JN881577,ncbi:766501	|		|		|	
5246638	|	102415	|	AB64A-17	|	no rank - terminal	|	silva:FR846896/#3	|		|		|	
5246637	|	102415	|	AK56	|	no rank - terminal	|	silva:AB302036/#3	|		|		|	
5246648	|	102415	|	ArcC-u-cD06	|	no rank - terminal	|	silva:EU307065/#3	|		|		|	
5246642	|	102415	|	AS48	|	no rank - terminal	|	silva:JX047158/#3	|		|		|	
5246641	|	102415	|	Papm3A43	|	no rank - terminal	|	silva:AB213098/#3	|		|		|	
5246645	|	102415	|	TOTO-A6-15	|	no rank - terminal	|	silva:AB167488/#3	|		|		|	
5246631	|	102415	|	South African Gold Mine Gp 1(SAGMCG-1)	|	no rank	|	silva:AJ535128/#3	|		|		|	
5207933	|	5246631	|	uncultured archaeon SAGMA-V	|	species	|	silva:AB050227,ncbi:140267	|		|		|	
5205954	|	5246631	|	uncultured Thermoprotei archaeon	|	species	|	silva:HQ671235,ncbi:476105	|		|		|	
5208822	|	5246631	|	uncultured archaeon SAGMA-11	|	species	|	silva:AB050241,ncbi:140281	|		|		|	
5208823	|	5246631	|	uncultured archaeon SAGMA-10	|	species	|	silva:AB050240,ncbi:140280	|		|		|	
5274700	|	5246631	|	Order Incertae Sedis	|	no rank - terminal	|	silva:AJ535128/#4	|	Order Incertae Sedis (in South African Gold Mine Gp 1(SAGMCG-1))	|	was_container	|	
5574955	|	5246631	|	Family Incertae Sedis	|	no rank - terminal	|	silva:AJ535128/#5	|	Family Incertae Sedis (in South African Gold Mine Gp 1(SAGMCG-1))	|	incertae_sedis,was_container	|	
4795963	|	5246631	|	Candidatus Nitrosotalea	|	genus	|	silva:AJ535128/#6,ncbi:1078904	|		|	incertae_sedis	|	
5205311	|	4795963	|	Crenarchaeote enrichment culture clone OREC-R1076	|	species	|	silva:JF799651,ncbi:1050484	|		|	incertae_sedis_inherited	|	
5207939	|	4795963	|	uncultured archaeon SAGMA-X	|	species	|	silva:AB050229,ncbi:140269	|		|	incertae_sedis_inherited	|	
5361996	|	4795963	|	Nitrosotalea sp. Nd2	|	species	|	ncbi:1499975	|		|	incertae_sedis_inherited	|	
4795964	|	4795963	|	Candidatus Nitrosotalea devanaterra	|	species	|	ncbi:1078905	|		|	incertae_sedis_inherited	|	
5878063	|	4795963	|	Candidatus Nitrosotalea environmental samples	|	no rank - terminal	|	ncbi:1617642	|		|	incertae_sedis_inherited,was_container	|	
5878064	|	4795963	|	uncultured Candidatus Nitrosotalea sp.	|	species	|	ncbi:1617643	|		|	incertae_sedis_inherited,not_otu	|	
5246626	|	102415	|	Marine Benthic Group B	|	no rank	|	silva:AB052992/#3	|		|		|	
5207849	|	5246626	|	uncultured archaeon APA3-11cm	|	species	|	silva:AF119137,ncbi:93188	|		|		|	
5207568	|	5246626	|	uncultured archaeon pPACMA-Y	|	species	|	silva:AB052992,ncbi:146990	|		|		|	
5205935	|	5246626	|	uncultured Desulfurococcus sp.	|	species	|	silva:AB240734,ncbi:158791	|		|		|	
5205316	|	5246626	|	uncultured crenarchaeote pBRKC86	|	species	|	silva:AF118656,ncbi:91313	|		|		|	
5205619	|	5246626	|	uncultured crenarchaeote pBRKC129	|	species	|	silva:AF118658,ncbi:91315	|		|		|	
5208729	|	5246626	|	uncultured archaeon VC2.1 Arc31	|	species	|	silva:AF068822,ncbi:78316	|		|		|	
5205622	|	5246626	|	uncultured crenarchaeote pBRKC108	|	species	|	silva:AF118664,ncbi:91318	|		|		|	
5246650	|	102415	|	HDBA-SITS413	|	no rank - terminal	|	silva:HM187524/#3	|		|		|	
5571543	|	102415	|	Order Incertae Sedis	|	no rank - terminal	|	silva:EU239993/#4	|	Order Incertae Sedis (silva:EU239993/#4)	|	incertae_sedis,was_container	|	
5571544	|	102415	|	Family Incertae Sedis	|	no rank - terminal	|	silva:EU239993/#5	|	Family Incertae Sedis (silva:EU239993/#5)	|	incertae_sedis,was_container	|	
4796256	|	102415	|	Candidatus Nitrosocaldus	|	genus	|	silva:EU239993/#6,ncbi:498374	|		|	incertae_sedis	|	
4796257	|	4796256	|	Candidatus Nitrosocaldus yellowstonii	|	species	|	ncbi:498375	|		|	incertae_sedis_inherited	|	
4796258	|	4796257	|	Candidatus Nitrosocaldus yellowstonii HL72	|	no rank - terminal	|	ncbi:1268556	|		|	incertae_sedis_inherited,infraspecific	|	
5205891	|	4796256	|	Candidatus Nitrosocaldus environmental samples	|	no rank - terminal	|	ncbi:766500	|		|	incertae_sedis_inherited,was_container	|	
5205094	|	102415	|	Thaumarchaeota environmental samples	|	no rank - terminal	|	ncbi:651140	|		|	was_container	|	
4795960	|	102415	|	unclassified Thaumarchaeota	|	no rank - terminal	|	ncbi:651142	|		|	was_container,not_otu	|	
5571545	|	102415	|	Nitrososphaeria	|	class	|	ncbi:1643678	|		|		|	
686295	|	5571545	|	Nitrososphaerales	|	order	|	ncbi:1033996	|		|		|	
5878058	|	686295	|	Nitrososphaerales environmental samples	|	no rank - terminal	|	ncbi:1740633	|		|	was_container	|	
686307	|	686295	|	Nitrososphaeraceae	|	family	|	ncbi:1033997	|		|		|	
5878055	|	686307	|	Candidatus Nitrosocosmicus	|	genus	|	ncbi:1826864	|		|		|	
5245645	|	5878055	|	Thaumarchaeota archaeon MY3	|	species	|	ncbi:1353260	|		|		|	
5878057	|	5878055	|	Candidatus Nitrosocosmicus sp. G61	|	species	|	ncbi:1826872	|		|		|	
5878056	|	5878055	|	Candidatus Nitrosocosmicus franklandus	|	species	|	ncbi:1798806	|		|		|	
5878059	|	686295	|	uncultured Nitrososphaerales archaeon	|	species	|	ncbi:1740634	|		|	sibling_higher,not_otu	|	
5571817	|	102415	|	uncultured marine thaumarchaeote KM3_170_G11	|	species	|	ncbi:1456047	|		|	environmental,not_otu	|	
5572076	|	102415	|	uncultured marine thaumarchaeote SAT1000_25_G12	|	species	|	ncbi:1456399	|		|	environmental,not_otu	|	
5572081	|	102415	|	uncultured marine thaumarchaeote SAT1000_27_B10	|	species	|	ncbi:1456401	|		|	environmental,not_otu	|	
5205134	|	102415	|	thaumarchaeote enrichment culture clone Ec.FBa1b4-08	|	species	|	ncbi:1238010	|		|	environmental	|	
5571608	|	102415	|	uncultured marine thaumarchaeote KM3_25_B05	|	species	|	ncbi:1456103	|		|	environmental,not_otu	|	
5572091	|	102415	|	uncultured marine thaumarchaeote AD1000_21_H05	|	species	|	ncbi:1455901	|		|	environmental,not_otu	|	
5571913	|	102415	|	uncultured marine thaumarchaeote KM3_169_D08	|	species	|	ncbi:1456040	|		|	environmental,not_otu	|	
5571779	|	102415	|	uncultured marine thaumarchaeote SAT1000_45_H05	|	species	|	ncbi:1456412	|		|	environmental,not_otu	|	
5205232	|	102415	|	thaumarchaeote enrichment culture clone Ec.MTa2b4-20	|	species	|	ncbi:1238128	|		|	environmental	|	
5205205	|	102415	|	thaumarchaeote enrichment culture clone Ec.MTa2b4-19	|	species	|	ncbi:1238127	|		|	environmental	|	
5571764	|	102415	|	uncultured marine thaumarchaeote KM3_86_D01	|	species	|	ncbi:1456320	|		|	environmental,not_otu	|	
5572010	|	102415	|	uncultured marine thaumarchaeote KM3_34_C02	|	species	|	ncbi:1456129	|		|	environmental,not_otu	|	
5205133	|	102415	|	thaumarchaeote enrichment culture clone Ec.FBa1b4-16	|	species	|	ncbi:1238017	|		|	environmental	|	
5205165	|	102415	|	thaumarchaeote enrichment culture clone Ec.MTa2b1-13	|	species	|	ncbi:1238099	|		|	environmental	|	
5205209	|	102415	|	thaumarchaeote enrichment culture clone Ec.FBa1b4-03	|	species	|	ncbi:1238005	|		|	environmental	|	
5571753	|	102415	|	uncultured marine thaumarchaeote KM3_28_B05	|	species	|	ncbi:1456111	|		|	environmental,not_otu	|	
5571554	|	102415	|	uncultured marine thaumarchaeote KM3_77_H05	|	species	|	ncbi:1456288	|		|	environmental,not_otu	|	
5205196	|	102415	|	thaumarchaeote enrichment culture clone Ec.FBa1b9-08	|	species	|	ncbi:1238029	|		|	environmental	|	
5572070	|	102415	|	uncultured marine thaumarchaeote KM3_01_C08	|	species	|	ncbi:1455951	|		|	environmental,not_otu	|	
5571846	|	102415	|	uncultured marine thaumarchaeote KM3_82_G09	|	species	|	ncbi:1456306	|		|	environmental,not_otu	|	
5205252	|	102415	|	thaumarchaeote enrichment culture clone Ec.FBa-T16S-01	|	species	|	ncbi:1237970	|		|	environmental	|	
5571835	|	102415	|	uncultured marine thaumarchaeote KM3_02_H10	|	species	|	ncbi:1455957	|		|	environmental,not_otu	|	
5571625	|	102415	|	uncultured marine thaumarchaeote KM3_17_G07	|	species	|	ncbi:1456063	|		|	environmental,not_otu	|	
5205168	|	102415	|	thaumarchaeote enrichment culture clone Ec.FBb-T16S-04	|	species	|	ncbi:1238062	|		|	environmental	|	
5571811	|	102415	|	uncultured marine thaumarchaeote KM3_160_B06	|	species	|	ncbi:1456030	|		|	environmental,not_otu	|	
5571635	|	102415	|	uncultured marine thaumarchaeote KM3_70_D07	|	species	|	ncbi:1456252	|		|	environmental,not_otu	|	
5205189	|	102415	|	thaumarchaeote enrichment culture clone Ec.FBb-T16S-02	|	species	|	ncbi:1238060	|		|	environmental	|	
5571866	|	102415	|	uncultured marine thaumarchaeote KM3_130_H01	|	species	|	ncbi:1456001	|		|	environmental,not_otu	|	
5571795	|	102415	|	uncultured marine thaumarchaeote KM3_100_D10	|	species	|	ncbi:1455979	|		|	environmental,not_otu	|	
5571963	|	102415	|	uncultured marine thaumarchaeote KM3_71_H11	|	species	|	ncbi:1456260	|		|	environmental,not_otu	|	
5571758	|	102415	|	uncultured marine thaumarchaeote KM3_65_D11	|	species	|	ncbi:1456225	|		|	environmental,not_otu	|	
5571906	|	102415	|	uncultured marine thaumarchaeote SAT1000_40_A08	|	species	|	ncbi:1456408	|		|	environmental,not_otu	|	
5571581	|	102415	|	uncultured marine thaumarchaeote AD1000_66_F10	|	species	|	ncbi:1455930	|		|	environmental,not_otu	|	
5571949	|	102415	|	uncultured marine thaumarchaeote KM3_59_E10	|	species	|	ncbi:1456211	|		|	environmental,not_otu	|	
5571887	|	102415	|	uncultured marine thaumarchaeote KM3_94_B01	|	species	|	ncbi:1456346	|		|	environmental,not_otu	|	
5571964	|	102415	|	uncultured marine thaumarchaeote KM3_182_G12	|	species	|	ncbi:1456067	|		|	environmental,not_otu	|	
5572029	|	102415	|	uncultured marine thaumarchaeote KM3_153_E08	|	species	|	ncbi:1456018	|		|	environmental,not_otu	|	
5205164	|	102415	|	thaumarchaeote enrichment culture clone Ec.MTa2b1-12	|	species	|	ncbi:1238098	|		|	environmental	|	
5205154	|	102415	|	thaumarchaeote enrichment culture clone Ec.MTa2b1-23	|	species	|	ncbi:1238107	|		|	environmental	|	
5572037	|	102415	|	uncultured marine thaumarchaeote KM3_64_A03	|	species	|	ncbi:1456220	|		|	environmental,not_otu	|	
5205180	|	102415	|	thaumarchaeote enrichment culture clone Ec.FBa-TamoA-18	|	species	|	ncbi:1237995	|		|	environmental	|	
5572014	|	102415	|	uncultured marine thaumarchaeote KM3_145_B06	|	species	|	ncbi:1456011	|		|	environmental,not_otu	|	
5571995	|	102415	|	uncultured marine thaumarchaeote AD1000_70_C10	|	species	|	ncbi:1455933	|		|	environmental,not_otu	|	
5571785	|	102415	|	uncultured marine thaumarchaeote SAT1000_24_E05	|	species	|	ncbi:1456397	|		|	environmental,not_otu	|	
5572009	|	102415	|	uncultured marine thaumarchaeote KM3_03_B05	|	species	|	ncbi:1455958	|		|	environmental,not_otu	|	
5571907	|	102415	|	uncultured marine thaumarchaeote KM3_130_G11	|	species	|	ncbi:1456000	|		|	environmental,not_otu	|	
5572043	|	102415	|	uncultured marine thaumarchaeote KM3_41_D10	|	species	|	ncbi:1456144	|		|	environmental,not_otu	|	
5571725	|	102415	|	uncultured marine thaumarchaeote KM3_186_G04	|	species	|	ncbi:1456071	|		|	environmental,not_otu	|	
5571703	|	102415	|	uncultured marine thaumarchaeote KM3_33_G02	|	species	|	ncbi:1456127	|		|	environmental,not_otu	|	
5571886	|	102415	|	uncultured marine thaumarchaeote KM3_76_G12	|	species	|	ncbi:1456285	|		|	environmental,not_otu	|	
5571609	|	102415	|	uncultured marine thaumarchaeote KM3_140_D09	|	species	|	ncbi:1456009	|		|	environmental,not_otu	|	
5571599	|	102415	|	uncultured marine thaumarchaeote KM3_56_B06	|	species	|	ncbi:1456201	|		|	environmental,not_otu	|	
5572038	|	102415	|	uncultured marine thaumarchaeote SAT1000_09_C08	|	species	|	ncbi:1456370	|		|	environmental,not_otu	|	
5571904	|	102415	|	uncultured marine thaumarchaeote KM3_03_H02	|	species	|	ncbi:1455963	|		|	environmental,not_otu	|	
5571917	|	102415	|	uncultured marine thaumarchaeote AD1000_40_H03	|	species	|	ncbi:1455914	|		|	environmental,not_otu	|	
5571843	|	102415	|	uncultured marine thaumarchaeote KM3_35_E05	|	species	|	ncbi:1456134	|		|	environmental,not_otu	|	
5571920	|	102415	|	uncultured marine thaumarchaeote KM3_87_A02	|	species	|	ncbi:1456325	|		|	environmental,not_otu	|	
5205229	|	102415	|	thaumarchaeote enrichment culture clone Ec.FBa2b1-08	|	species	|	ncbi:1238048	|		|	environmental	|	
5571885	|	102415	|	uncultured marine thaumarchaeote KM3_18_D11	|	species	|	ncbi:1456075	|		|	environmental,not_otu	|	
5205136	|	102415	|	thaumarchaeote enrichment culture clone Ec.FBa1b4-10	|	species	|	ncbi:1238012	|		|	environmental	|	
5571601	|	102415	|	uncultured marine thaumarchaeote KM3_15_C08	|	species	|	ncbi:1456026	|		|	environmental,not_otu	|	
5205238	|	102415	|	thaumarchaeote enrichment culture clone Ec.MTa2b4-14	|	species	|	ncbi:1238122	|		|	environmental	|	
5571654	|	102415	|	uncultured marine thaumarchaeote KM3_44_G08	|	species	|	ncbi:1456152	|		|	environmental,not_otu	|	
5571799	|	102415	|	uncultured thaumarchaeote Rifle_16ft_4_minimus_1872	|	species	|	ncbi:1665209	|		|	environmental,not_otu	|	
5571600	|	102415	|	uncultured marine thaumarchaeote SAT1000_44_H06	|	species	|	ncbi:1456411	|		|	environmental,not_otu	|	
5571937	|	102415	|	uncultured marine thaumarchaeote KM3_79_H02	|	species	|	ncbi:1456297	|		|	environmental,not_otu	|	
5571877	|	102415	|	uncultured marine thaumarchaeote KM3_46_G12	|	species	|	ncbi:1456162	|		|	environmental,not_otu	|	
5571570	|	102415	|	uncultured marine thaumarchaeote SAT1000_06_B02	|	species	|	ncbi:1456361	|		|	environmental,not_otu	|	
5205216	|	102415	|	thaumarchaeote enrichment culture clone Ec.FBa-T16S-04	|	species	|	ncbi:1237973	|		|	environmental	|	
5571911	|	102415	|	uncultured marine thaumarchaeote KM3_170_F12	|	species	|	ncbi:1456046	|		|	environmental,not_otu	|	
5571822	|	102415	|	uncultured marine thaumarchaeote KM3_53_F06	|	species	|	ncbi:1456185	|		|	environmental,not_otu	|	
5571681	|	102415	|	uncultured marine thaumarchaeote KM3_53_E01	|	species	|	ncbi:1456183	|		|	environmental,not_otu	|	
5571783	|	102415	|	uncultured marine thaumarchaeote KM3_187_A08	|	species	|	ncbi:1456073	|		|	environmental,not_otu	|	
5571759	|	102415	|	uncultured marine thaumarchaeote AD1000_31_F12	|	species	|	ncbi:1455906	|		|	environmental,not_otu	|	
5571677	|	102415	|	uncultured marine thaumarchaeote SAT1000_06_A02	|	species	|	ncbi:1456359	|		|	environmental,not_otu	|	
5571711	|	102415	|	uncultured marine thaumarchaeote KM3_36_B08	|	species	|	ncbi:1456135	|		|	environmental,not_otu	|	
5571693	|	102415	|	uncultured marine thaumarchaeote KM3_85_A07	|	species	|	ncbi:1456315	|		|	environmental,not_otu	|	
5571766	|	102415	|	uncultured marine thaumarchaeote KM3_76_B07	|	species	|	ncbi:1456283	|		|	environmental,not_otu	|	
5205167	|	102415	|	thaumarchaeote enrichment culture clone Ec.FBb-TamoA-03	|	species	|	ncbi:1238068	|		|	environmental	|	
5571586	|	102415	|	uncultured marine thaumarchaeote KM3_153_F09	|	species	|	ncbi:1456019	|		|	environmental,not_otu	|	
5571925	|	102415	|	uncultured marine thaumarchaeote KM3_39_A11	|	species	|	ncbi:1456140	|		|	environmental,not_otu	|	
5571710	|	102415	|	uncultured marine thaumarchaeote KM3_01_G08	|	species	|	ncbi:1455954	|		|	environmental,not_otu	|	
5571585	|	102415	|	uncultured marine thaumarchaeote KM3_175_E11	|	species	|	ncbi:1456055	|		|	environmental,not_otu	|	
5571837	|	102415	|	uncultured marine thaumarchaeote KM3_204_F10	|	species	|	ncbi:1456098	|		|	environmental,not_otu	|	
5571592	|	102415	|	uncultured marine thaumarchaeote KM3_90_H07	|	species	|	ncbi:1456345	|		|	environmental,not_otu	|	
5571567	|	102415	|	uncultured marine thaumarchaeote AD1000_38_A02	|	species	|	ncbi:1455911	|		|	environmental,not_otu	|	
5571560	|	102415	|	uncultured marine thaumarchaeote AD1000_18_B11	|	species	|	ncbi:1455896	|		|	environmental,not_otu	|	
5205127	|	102415	|	thaumarchaeote enrichment culture clone Ec.FBa-TamoA-10	|	species	|	ncbi:1237989	|		|	environmental	|	
5571615	|	102415	|	uncultured marine thaumarchaeote AD1000_07_E11	|	species	|	ncbi:1455886	|		|	environmental,not_otu	|	
5571928	|	102415	|	uncultured marine thaumarchaeote KM3_62_H05	|	species	|	ncbi:1456218	|		|	environmental,not_otu	|	
5571952	|	102415	|	uncultured marine thaumarchaeote AD1000_31_G03	|	species	|	ncbi:1455907	|		|	environmental,not_otu	|	
5205178	|	102415	|	thaumarchaeote enrichment culture clone Ec.FBa-TamoA-12	|	species	|	ncbi:1237991	|		|	environmental	|	
5571798	|	102415	|	uncultured marine thaumarchaeote KM3_42_G11	|	species	|	ncbi:1456149	|		|	environmental,not_otu	|	
5571992	|	102415	|	uncultured marine thaumarchaeote AD1000_69_E02	|	species	|	ncbi:1455932	|		|	environmental,not_otu	|	
5571744	|	102415	|	uncultured marine thaumarchaeote KM3_156_B03	|	species	|	ncbi:1456022	|		|	environmental,not_otu	|	
5205193	|	102415	|	thaumarchaeote enrichment culture clone Ec.FBa2b1-02	|	species	|	ncbi:1238042	|		|	environmental	|	
